date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:22:45	99384/99384	---MCZ	200	added ('OK')	text/html	etag:W/%22b21f3db6b1ea1131c18e0f6faeb61620%22	https://demo.plainadmin.com/	C:/My%20Web%20Sites/Admin/demo.plainadmin.com/index.html	(from )
08:24:44	15136/15136	---MCZ	200	added ('OK')	text/html	etag:W/%22b21f3db6b1ea1131c18e0f6faeb61620%22	https://demo.plainadmin.com/robots.txt		(from )
08:24:45	2828/2828	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22d19f51d943b18af2fe45b7edcd4d6a72%22	https://demo.plainadmin.com/assets/images/favicon.svg	C:/My%20Web%20Sites/Admin/demo.plainadmin.com/assets/images/favicon.svg	(from https://demo.plainadmin.com/)
08:24:47	29716/29716	---MCZ	200	added ('OK')	text/css	etag:W/%223acea214cfebf538fab3ddb81eaa1b89%22	https://demo.plainadmin.com/assets/css/lineicons.css	C:/My%20Web%20Sites/Admin/demo.plainadmin.com/assets/css/lineicons.css	(from https://demo.plainadmin.com/)
08:24:47	220780/220780	---MCZ	200	added ('OK')	text/css	etag:W/%22c10215ede6a2fdc4dedb6d87f4ca36d7%22	https://demo.plainadmin.com/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/Admin/demo.plainadmin.com/assets/css/bootstrap.min.css	(from https://demo.plainadmin.com/)
08:24:54	25352/25352	---MCZ	200	added ('OK')	text/css	etag:W/%2201cae7161f0ca609b00aae75c18df330%22	https://demo.plainadmin.com/assets/css/quill/bubble.css	C:/My%20Web%20Sites/Admin/demo.plainadmin.com/assets/css/quill/bubble.css	(from https://demo.plainadmin.com/)
08:24:55	24742/24742	---MCZ	200	added ('OK')	text/css	etag:W/%225c52fd2582d86bf2ff8825afb56edc31%22	https://demo.plainadmin.com/assets/css/quill/snow.css	C:/My%20Web%20Sites/Admin/demo.plainadmin.com/assets/css/quill/snow.css	(from https://demo.plainadmin.com/)
08:24:55	25839/25839	---MCZ	200	added ('OK')	text/css	etag:W/%22c76fb429b78e1b58c6a18ff1ae519220%22	https://demo.plainadmin.com/assets/css/fullcalendar.css	C:/My%20Web%20Sites/Admin/demo.plainadmin.com/assets/css/fullcalendar.css	(from https://demo.plainadmin.com/)
08:24:55	433/433	---MCZ	200	added ('OK')	text/css	etag:W/%228ef3ad65f03953de99b02026c1a0bc2c%22	https://demo.plainadmin.com/assets/css/morris.css	C:/My%20Web%20Sites/Admin/demo.plainadmin.com/assets/css/morris.css	(from https://demo.plainadmin.com/)
08:24:56	3067/3067	---MCZ	200	added ('OK')	text/css	etag:W/%2231890c9140c96bad7fdc02f21920670f%22	https://demo.plainadmin.com/assets/css/datatable.css	C:/My%20Web%20Sites/Admin/demo.plainadmin.com/assets/css/datatable.css	(from https://demo.plainadmin.com/)
08:24:56	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2008%20May%202024%2001:24:55%20GMT	https://demo.plainadmin.com/index.html	C:/My%20Web%20Sites/Admin/demo.plainadmin.com/index-2.html	(from https://demo.plainadmin.com/)
08:24:56	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2008%20May%202024%2001:24:56%20GMT	https://demo.plainadmin.com/index.html	C:/My%20Web%20Sites/Admin/demo.plainadmin.com/index-2.html	(from https://demo.plainadmin.com/)
08:24:57	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2008%20May%202024%2001:24:56%20GMT	https://demo.plainadmin.com/analytics-dashboard.html	C:/My%20Web%20Sites/Admin/demo.plainadmin.com/analytics-dashboard.html	(from https://demo.plainadmin.com/)
08:24:57	9385/9385	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2299407171a3ee99ca45aeb5b17f1855a8%22	https://demo.plainadmin.com/assets/images/logo/logo.svg	C:/My%20Web%20Sites/Admin/demo.plainadmin.com/assets/images/logo/logo.svg	(from https://demo.plainadmin.com/)
08:24:57	107833/107833	---MCZ	200	added ('OK')	text/html	etag:W/%22ef95d0f8fee6631cd61c811aaabd74c7%22	https://demo.plainadmin.com/analytics-dashboard	C:/My%20Web%20Sites/Admin/demo.plainadmin.com/analytics-dashboard.html	(from https://demo.plainadmin.com/)
08:24:58	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2008%20May%202024%2001:24:57%20GMT	https://demo.plainadmin.com/crypto.html	C:/My%20Web%20Sites/Admin/demo.plainadmin.com/crypto.e.delayed	(from https://demo.plainadmin.com/)
08:24:58	129794/129794	---MCZ	200	added ('OK')	text/html	etag:W/%224691d7e4c69eac7057edba2f1485c90e%22	https://demo.plainadmin.com/crypto	C:/My%20Web%20Sites/Admin/demo.plainadmin.com/crypto.html	(from https://demo.plainadmin.com/)
08:24:58	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2008%20May%202024%2001:24:58%20GMT	https://demo.plainadmin.com/crm-dashboard.html	C:/My%20Web%20Sites/Admin/demo.plainadmin.com/crm-dashboard.html	(from https://demo.plainadmin.com/)
08:24:59	88995/88995	---MCZ	200	added ('OK')	text/html	etag:W/%22e7f3aa167ceae0d7f597c5bf153bf46a%22	https://demo.plainadmin.com/crm-dashboard	C:/My%20Web%20Sites/Admin/demo.plainadmin.com/crm-dashboard.html	(from https://demo.plainadmin.com/)
08:24:59	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2008%20May%202024%2001:24:58%20GMT	https://demo.plainadmin.com/marketing-dashboard.html	C:/My%20Web%20Sites/Admin/demo.plainadmin.com/marketing-dashboard.html	(from https://demo.plainadmin.com/)
08:25:00	115799/115799	---MCZ	200	added ('OK')	text/html	etag:W/%22eb416a9a0c2702e194dc04d39d4fc873%22	https://demo.plainadmin.com/marketing-dashboard	C:/My%20Web%20Sites/Admin/demo.plainadmin.com/marketing-dashboard.html	(from https://demo.plainadmin.com/)
08:25:00	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2008%20May%202024%2001:24:59%20GMT	https://demo.plainadmin.com/settings.html	C:/My%20Web%20Sites/Admin/demo.plainadmin.com/settings.html	(from https://demo.plainadmin.com/)
08:25:00	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2008%20May%202024%2001:25:00%20GMT	https://demo.plainadmin.com/projects.html	C:/My%20Web%20Sites/Admin/demo.plainadmin.com/projects.html	(from https://demo.plainadmin.com/)
08:25:00	57494/57494	---MCZ	200	added ('OK')	text/html	etag:W/%221bba2127a329eff734a76d162622c361%22	https://demo.plainadmin.com/settings	C:/My%20Web%20Sites/Admin/demo.plainadmin.com/settings.html	(from https://demo.plainadmin.com/)
08:25:00	75113/75113	---MCZ	200	added ('OK')	text/html	etag:W/%2231d7855f99d4b94577459b0dc844876e%22	https://demo.plainadmin.com/projects	C:/My%20Web%20Sites/Admin/demo.plainadmin.com/projects.html	(from https://demo.plainadmin.com/)
